,charity_name,address,city,state,zipcode,url,phone_number,email,category_name,charity_description,charity_tag,logo,ruling_year,assets,income,expenses,irs_form
10,American Group Psychotherapy Association Inc,3050 Broadway St Ste 300,Boulder,CO,80304,https://www.agpa.org/,212-477-2677,info@agpa.org,Health,"The American Group Psychotherapy Association is the foremost professional association dedicated to the field of group psychotherapy, operating through a tri-partite structure: AGPA, a professional and educational organization; the Group Foundation for Advancing Mental Health, its philanthropic arm; and the International Board for Certification of Group Psychotherapists, a standard setting and certifying body.  This multidisciplinary association has approximately 3,000 members, including psychiatrists, psychologists, social workers, nurses, clinical mental health counselors, marriage and family therapists, pastoral counselors, occupational therapists and creative arts therapists, many of whom have been recognized as specialists through the Certified Group Psychotherapist credential.  The association has 26 local and regional societies located across the country.  Its members are experienced mental health professionals who lead psychotherapy groups and various non-clinical groups.  Many are organizational specialists who work with businesses, not-for-profit organizations, communities and other ""natural"" groups to help them improve their functioning.","AGPA is a community of Mental Health Professionals of all disciplines dedicated to advancing knowledge and research and providing quality training in group psychotherapy and other group interventions, consultations and direct services nationally and internationally.",https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/28471349_10159697434335538_5407203378198186835_n.jpg?_nc_cat=101&_nc_ht=scontent-dfw5-1.xx&oh=d422973e22d7f9f58abedf9902c557e8&oe=5CA0C027,1957,"$1,790,192","$1,684,756",NULL,https://www.guidestar.org/FinDocuments/2016/131/876/2016-131876348-0e39ae1c-9.pdf
11,Art Parts Creative Reuse Center,2870 Bluff Street,Boulder,CO,80304,http://www.artpartsboulder.org/,(720) 379-5328,info@artpartsboulder.org,Art & Culture,"Art Parts is a non-profit creative reuse center founded in 2011 to serve Boulder County, CO. We accept donated, reusable industry surplus, and other art/craft/school/resourceful materials from businesses and individuals, to resell at low cost to the public.","Art Part's mission is to inspire and promote creativity, resource conservation, and community engagement through reuse.",http://nebula.wsimg.com/b6e118cee1872545b6e4030c3222db27?AccessKeyId=AECCF6ED38482021DF54&disposition=0&alloworigin=1,2014,NULL,"$35,492",NULL,https://www.guidestar.org/FinDocuments/2016/462/419/2016-462419105-0ddf43f5-Z.pdf
12,Association Of Colorado Independent Schools,1702 Sumac Ave,Boulder,CO,80304,http://www.acischools.com/,303.444.2201,lquinby@acischools.org,Education,"The Association of Colorado Independent Schools was established in 1957 and joined the National Association of Independent Schools (NAIS) in 1963. Member schools were first accredited by the State of Colorado from 1963 to 1978. From 1978 to 1991 ACIS accredited schools in partnership with the Colorado Department of Education when it began phasing out its private school accreditation program. In 1991 Colorado gave full recognition and authority to ACIS as a separate accrediting agency. From its founding ACIS has provided collegial support and professional development to help sustain effective leadership in member schools. Since 1989 that program has included the Annual Trustee & Head of School Conference offered each fall. ACIS celebrated its 50th anniversary in fall 2007.

ACIS includes thirty-six schools with a total of over 10,300 students. Members reflect a wide variety of school missions: boarding and day schools, progressive and traditional programs, Montessori and Waldorf schools. They are also geographically diverse, with half the schools (18) located in Denver or the immediate vicinity, eight in mountain communities or on the Western Slope, and ten members in the Front Range cities of Boulder, Colorado Springs, and Pueblo.","The Association of Colorado Independent Schools accredits, supports, and promotes independent schools in Colorado in a way that respects each school's mission and fosters excellence in teaching and learning.",http://www.acischools.com/index_logo.gif,1963,"$409,309","$303,985",NULL,https://www.guidestar.org/FinDocuments/2016/846/031/2016-846031738-0e2f7022-9.pdf
13,Athletes Coalition,3850 BROADWAY ST APT 19,Boulder,CO,80304,https://athletescoalition.org/,757-871-7394,info@athletescoalition.org,Sports,"The Athletes’ Coalition is a nonprofit that advocates for and assists individual athletes with negotiations, career planning, and post-career guidance. We focus on athletes and sports that are typically under-served in these areas. Our services are provided at low or no cost where possible and funded through memberships and the generosity of donors. Our board members each bring experience and passion providing guidance and counsel in formal and informal capacities to the under-served athlete community.","The Athletes’ Coalition advocates for and assists individual athletes with negotiations, career planning, and post-career guidance.",https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/38228836_1954119401553075_1777884570964721664_n.jpg?_nc_cat=102&_nc_ht=scontent-dfw5-1.xx&oh=fdc2ea699403d45a138708c319690dd6&oe=5C731023,2018,NULL,NULL,NULL,NULL
14,Baobao Foundation,1502 UPLAND AVE,Boulder,CO,80304,http://www.baobaofoundation.org/,NULL,info@baobaofoundation.org.,Art & Culture,"Through the richness of West African arts and culture, BaoBao Foundation strives to create an inclusive community here in the USA, while providing opportunities for communities in Ghana, West Africa. We envision communities in Colorado coming together and learning about West African arts through cultural events, workshops and classes. We envision new opportunities for children and adults in Ghana through access to modern facilities and resources.","Through the richness of West African arts and culture, BaoBao Foundation strives to create an inclusive community here in the USA, while providing opportunities for communities in Ghana, West Africa.",http://www.baobaofoundation.org/uploads/4/2/1/1/42111575/8679714_orig.jpg,2015,NULL,NULL,NULL,NULL
15,Blue Moon Dance Company,3135 Broadway,Boulder,CO,80304,http://www.bluemoondancecompany.com/,(303) 443-3262,bluemoondanceco@hotmail.com,Art & Culture,"Blue Moon Dance Company is a contemporary dance company that provides an outlet for dancers and choreographers to present their work. After working for many years as an independent choreographer, Pat Connelly was commissioned in 1995 to hire dancers and create works for a concert at the Denver Art Museum. It was very successful, so this unconventional group of dancers kept on working together under the company name. In 1998, Blue Moon Dance Company received non-profit status.

Since 1995, works by thirty different choreographers have been presented and more are added each year. The styles range from hip-hop to classic Graham technique; from jumping jive to ballet duets on pointe; from traditional methods to avant-garde compositions. Dance critics have reacted favorably to this eclectic approach and have applauded the company's versatility and exuberance. The composition of the company is unusual: technically varied, the training and professional backgrounds of the dancers range from hip-hop, modern and ballroom dance to classical ballet; ethnically diverse, the dancers are a challenge to lighting designers because of the skin tones and to costume designers because of the assorted body types. Because partnering is a significant element in the repertory, the company strives to maintain gender equity (as many men as women), and equal pay scales for everyone whether they are true dance professionals or students who are just entering the field. The ages of the dancers span four decades of training, but all are committed to producing a high caliber of dance regardless of the level of expertise.",Blue Moon Dance Company is a contemporary dance company that provides an outlet for dancers and choreographers to present their work.,http://www.bluemoondancecompany.com/images/bluemoonphoto3-2015.jpg,1998,NULL,NULL,NULL,NULL
16,Bolderlife Foundation,1360 SUMAC AVE,Boulder,CO,80304,http://www.bolderlifefestival.com/,(303) 818-4645,NULL,Art & Culture,"Here at BolderLife, we believe in a that world nurtures freedom and love and one that holds space for the whole spectrum of human experience. We believe in the power of standing and facing the truth with integrity, no matter how that truth manifests itself – in tenderness, love, rage, or despair. We believe in building a world-wide community that practices inclusion, has difficult and courageous conversations, and embraces the beauty of diversity. We invite all stories, from the hate-filled, misguided adolescent to a mother who unconditionally loves her child; from the forgotten grandparent with Alzheimer’s preparing for solitary death to the brave and generous everyday hero; from the sick and fatigued cancer patient to the passionate lover; from the thriving and energetic athlete to the inspired and stretched artist, and all the vast and infinite ways in which life is embodied.Here at BolderLife, we believe in a that world nurtures freedom and love and one that holds space for the whole spectrum of human experience. We believe in the power of standing and facing the truth with integrity, no matter how that truth manifests itself – in tenderness, love, rage, or despair. We believe in building a world-wide community that practices inclusion, has difficult and courageous conversations, and embraces the beauty of diversity. We invite all stories, from the hate-filled, misguided adolescent to a mother who unconditionally loves her child; from the forgotten grandparent with Alzheimer’s preparing for solitary death to the brave and generous everyday hero; from the sick and fatigued cancer patient to the passionate lover; from the thriving and energetic athlete to the inspired and stretched artist, and all the vast and infinite ways in which life is embodied.

We believe that freedom, love, dignity, grace, presence and purpose are experienced through fearlessness and non-judgement of all moments of living, leading to more courageous and fulfilled lives for every person on this planet. Ultimately, we seek to celebrate and inspire solutions that promote a more conscious approach to living, whether on a personal, community, or global level, inspiring everyone to live a Bolder Life.","BolderLife explores adversity and diversity through film, theater, education, fine art, and conversation. ",http://www.bolderlifefestival.com/wp-content/uploads/2014/07/BOLDerLogo-white.png,2013,NULL,NULL,NULL,NULL
17,Boulder Aikikai Inc,3320 15th St,Boulder,CO,80304,http://www.boulderaikikai.org/,(303) 444-7721,NULL,Sports,"Boulder Aikikai is a federal non-profit educational organization and welcomes all students who can safely participate in our programs. All of our classes are open for free observation.

Boulder Aikikai, Inc. is open to any person who safely can participate in our programs and activities regardless of race, color, national and ethnic origin, ancestry, creed, religion, sex, sexual orientation, gender variance, marital status, and mental or physical disability, and all such persons will be afforded the rights, privileges, programs and activities generally accorded or made available to students at the school. It does not discriminate on the basis of any of the above in administration of its educational politics, athletics, or other school-administered programs.",Boulder Aikikai was established by Hiroshi Ikeda in 1980 for the study of the Japanese martial art of Aikido.,http://www.boulderaikikai.org/sites/all/themes/boulderaikikai/images/bak_circle.gif,1991,"$120,773","$100,185",NULL,https://www.guidestar.org/FinDocuments/2016/840/882/2016-840882921-0dcbd804-9.pdf
18,Boulder Art Matrix,1620 LEE HILL RD,Boulder,CO,80304,http://boulderartmatrix.org/#welcome,303-444-6550,NULL,Art & Culture,"Our mission is to promote and sustain the arts and artists in Boulder, broaden the base of understanding for art appreciation, support meaningful educational initiatives in the community, create more art venues for visual and performing artists in Boulder, and work with the City of Boulder, businesses and homeowner’s associations to develope outdoor public art display spaces and acquire art for these locations.",Our mission is to promote and sustain the arts and artists in Boulder.,https://static1.squarespace.com/static/55fdc187e4b0d78d7a85f954/t/55fee974e4b031e03bb3c56c/1442769268608/?format=300w,2014,NULL,NULL,NULL,NULL
19,Boulder Bear Coalition,3024 6TH ST,Boulder,CO,80304,https://boulderbearcoalition.org/,303 246-4544,info@boulderbearcoalition.org,Environment,"BBCs main driver has been to approach Bear Management from the bottom up. Rather than relying on wildlife officers to respond to a crisis of a bear in town,  BBC has focused on educating and empowering the community to keep bears from coming into town (by reducing attractants, increasing deterrents) so that wildlife officers do not need to handle bears in town. For community members who do not reduce the main attractants (unsecured trash) then the city steps in to implement and enforce these laws. A community is built on shared values, and because wildlife is something that most residents in Boulder value, BBC was born from a need to create a cohesive understanding of what we can do, in clear steps, to protect bears and how we can effectively communicate this information to one another.",The Boulder Bear Coalition implements preventative measures to reduce human-bear conflicts to keep local black bears wild and free and the Boulder community safe.,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/1779342_203227426552905_1121937662_n.jpg?_nc_cat=106&_nc_ht=scontent-dfw5-1.xx&oh=b014c855f49e3c2346b537e5cdc38f17&oe=5C6F39BF,2015,NULL,NULL,NULL,https://www.guidestar.org/FinDocuments/2013/463/941/2013-463941088-0a8ebc4c-Z.pdf
20,Boulder Carshare,2305 BROADWAY ST,Boulder,CO,80304,http://carshare.org/,(303) 720-1185,info@carshare.org,Environment,"eGo CarShare was started by a group of Boulder citizens who were very concerned about minimizing their environmental impact, and who strived to leave a more sustainable legacy for future generations. They took the issue of transportation to heart and made a commitment to minimize their automobile use. In 1997, the “Little Red Car Co-op” was formed. The momentum continued forward, and in 1998, Boulder CarShare (BCS) was founded.

The organization was incorporated as a Colorado nonprofit on August 28, 1998. Approval by the IRS as a 501(c)(3) entity came on April 3, 2006. Boulder CarShare rebranded in January 2009 as eGo CarShare in order to bring its service to the city of Denver. In March of 2009 eGo CarShare placed its first three cars in Denver, and in the fall of 2009 eGo CarShare received its first significant outside funding from a CMAQ (Congestion Mitigation and Air Quality) grant to aid in its expansion to core Denver neighborhoods.","Boulder Carshare's mission is to provide and promote alternatives to individual car ownership, thereby reducing the environmental and social impacts associated with motor vehicle use.",http://carshare.org/2016dev/wp-content/uploads/2013/05/cropped-eGo_logo.jpg,2006,"$289,332","$607,670",NULL,https://www.guidestar.org/FinDocuments/2016/841/472/2016-841472528-0ea7dad4-9.pdf
21,Boulder County Latina League Inc,660 NORTHSTAR CT,Boulder,CO,80304,https://www.boulderlatina.org/,NULL,bcll@boulderlatina.org,Education,"The Boulder County Latina League was founded as a volunteer non-profit organization in 1999 by a group of professional Latina women who realized the need for scholarships for college-bound and low income Latina/o students. Today, students from Boulder Valley School District and St. Vrain Valley School District participate in our scholarship program. Our students are frequently first-generation college students (first in their family to attend college.) Since its beginning over 15 years ago, BCLL has awarded 390 scholarships, between $750 and $1500 each, totaling over $400,000. The University of Colorado and Front Range Community College willingly match our scholarship funds to students attending their colleges. 100% of donations are fully tax deductible.",The Boulder County Latina League was founded as a volunteer non-profit organization in 1999 by a group of professional Latina women who realized the need for scholarships for college-bound and low income Latina/o students.,"https://static.wixstatic.com/media/b72ef4_7c7b44dca7644d5db711af649586e52a~mv2.jpg/v1/fill/w_105,h_105,al_c,q_80,usm_0.66_1.00_0.01/b72ef4_7c7b44dca7644d5db711af649586e52a~mv2.webp",2000,"$42,897",NULL,NULL,http://www.guidestar.org/FinDocuments/2016/841/545/2016-841545027-0e61c429-Z.pdf
22,Boulder Cycling Club,4134 AMBER ST,Boulder,CO,80304,https://bouldercyclingclub.org/,(720) 924-2453,Info@bouldercyclingclub.org,Sports,"The Boulder Cycling Club offers an alternative to the competitive riding style of most clubs. We are a social, recreational riding club offering primarily safe and fun intermediate level rides. Beginners are completely welcome. Most of our rides are ""no drop"". Intermediate through advanced riders are welcome too, but leave the competitive energy at home.",Boulder Cycling Club is a non-competitive organization with weekly group bike rides in Boulder. Beginner through advanced level riders are encouraged to join.,https://bouldercyclingclub.org/wp-content/uploads/2018/10/GreenLogo-555.png,2011,NULL,NULL,NULL,NULL
23,Boulder Housing Partners Foundation,4800 BROADWAY ST,Boulder,CO,80304,https://www.boulderhousing.org/boulder-housing-partners-foundation,720-564-4610,bhpinfo@boulderhousing.org,Human Services,"Founded in 1966, Boulder Housing Partners (BHP) is the housing authority for the City of Boulder. Our goal is to make living in Boulder possible and affordable, regardless of income. We are committed to fostering a healthy sense of community in every property we develop.

We build, own and manage 33% of the total inventory of affordable housing in Boulder, making a strong contribution to City Council's goal that 10% of all housing is permanently affordable. We actively seek opportunities to grow our housing inventory. BHP provides assistance to nearly two thousand households through five housing programs.","The mission of the Boulder Housing Partners Foundation is to help BHP residents pursue successful, productive, and dignified lives by mobilizing resources for supportive, life-enriching, and community building services.",https://www.boulderhousing.org/sites/all/themes/minim/images/bhp-foundation-logo.png,2001,"$402,018","$472,884",NULL,http://www.guidestar.org/FinDocuments/2017/841/584/2017-841584949-0f4d4061-9.pdf
24,Boulder Metalsmithing Association,1845 QUINCE AVE,Boulder,CO,80304,http://www.bouldermetalsmiths.com/,(720) 346-3233,NULL,Education,"Our goal is to revive and reenergize metalsmithing instruction in middle and high school art classrooms and give art students an introduction to the art and craft of metalsmithing. 

For the last four years, BoMA has offered a hands-on, train-the-trainer metalsmithing course for up to eight Boulder area art teachers. We've taught age-appropriate techniques and projects for middle and high school students and provided tools & materials for the teachers to take into their own classrooms to teach their students.

Our program enhanced both the BVSD art curriculum & the Career and Technical Education (CTE) Standards by offering unique creative training & technical skills with a different medium & presenting a unique career path in the arts. We reached approximately 1,000 students in regular classroom sessions & after-school clubs.","BoMA offers monthly demonstrations, hands-on workshops, and open studio.",http://www.bouldermetalsmiths.com/uploads/1/3/9/0/13906185/published/boma-logo_1.png?1523829208,2013,"$61,577","$73,095",NULL,http://www.guidestar.org/FinDocuments/2017/461/995/2017-461995739-0f5f41d0-Z.pdf
25,Boulder Nablus Sister City Project Inc,4500 19TH STREET,Boulder,CO,80304,http://bouldernablus.org/,NULL,NULL,Civic,"We are a people-to-people initiative working to link citizens in Nablus, Palestine with those in Boulder, Colorado. The groups in both cities consist of students (middle-school, high-school & university), entrepreneurs, farmers, artisans, medical professionals, professors, directors of non-profits and cultural centers, artists, engineers, yoga teachers, and so much more.

The Boulder-Nablus Sister City Project fosters relationships through cultural, educational and professional exchanges, inspiring lifelong friendships that promote understanding and peace through person-to-person “citizen diplomacy.”","The Boulder-Nablus Sister City Project fosters relationships through cultural, educational and professional exchanges, inspiring lifelong friendships that promote understanding and peace through person-to-person “citizen diplomacy.”",https://scontent-msp1-1.xx.fbcdn.net/v/t31.0-8/615987_382452545158475_43002401_o.png?_nc_cat=105&_nc_ht=scontent-msp1-1.xx&oh=33d46166ad0dfcf3e2f0f5cdc9078493&oe=5C710B53,2012,NULL,NULL,NULL,NULL
26,Boulder Opera,2015 GRAPE AVE,Boulder,CO,80304,http://www.boulderoperacompany.com/,303 731 2036,info@boulderoperacompany.com,Art & Culture,"Founded in 2012 by Artistic Director/Executive Director Dianela Acosta, the Boulder Opera is immersed in its seventh season with a fresh, vibrant approach to the ancient art of Opera. With the intention of developing new audiences, Boulder Opera operatic interpretations are modern, eclectic and fun!

Boulder Opera is committed to making Opera accessible by producing two Operas per season that will be chosen from the standard repertoire as well as the lesser known; and to offer opportunities to local professional artists. The Company is funded mainly by donation, and we're grateful to our generous patrons for helping us keep this art from becoming lost in our community.",Boulder Opera is committed to making Opera accessible by producing two Operas per season that will be chosen from the standard repertoire as well as the lesser known; and to offer opportunities to local professional artists. ,http://static1.squarespace.com/static/532f3115e4b00d0eac2bb162/t/532f32a4e4b07b2b8d0f259c/1543203859080/?format=1500w,2015,"$18,894","$56,009",NULL,NULL
27,Boulder Samba School,3011 WASHINGTON ST,Boulder,CO,80304,http://www.bouldersambaschool.org/,(720) 583-4327,NULL,Art & Culture,"The Boulder Samba School is a non-profit  501(c)3 organization that promotes the rich heritage of Brazilian music, dance, and culture.  Founded in Boulder, CO, in January 2009, it is the only organization of its kind in Colorado.

The BSS offers ongoing classes in Brazilian music and percussion for students of all levels and abilities, presents special workshops, sponsors clinics with guest Brazilian music teachers, and collaborates with the En Fuego Dance student and professional Brazilian dance troupes.","The Boulder Samba School is a non-profit  501(c)3 organization that promotes the rich heritage of Brazilian music, dance, and culture.",https://scontent-msp1-1.xx.fbcdn.net/v/t1.0-9/31663_393264126623_2229215_n.jpg?_nc_cat=104&_nc_ht=scontent-msp1-1.xx&oh=ce83a63714dd9710815adad43d269318&oe=5C676F1F,2018,NULL,NULL,NULL,NULL
28,Boulder Shelter For The Homeless Inc,4869 North Broadway,Boulder,CO,80304,https://bouldershelter.org/,303-442-4646,NULL,Human Services,"The Boulder Shelter for the Homeless provides opportunities for housing solutions, safe shelter, food and support services for up to 160 individuals year around. Founded in 1982, the Boulder Shelter is a 501(c)3 non-profit organization located in Boulder, Colorado. We provide homeless services for adults in Boulder County.","The Boulder Shelter for the Homeless' mission is to create avenues to stable housing for our community's homeless adults, from a foundation of supportive and safe shelter.",https://bouldershelter.org/wp-content/uploads/2017/03/logo-white.png,1988,"$5,872,385","$2,339,296","$2,476,170",http://www.guidestar.org/FinDocuments/2017/841/041/2017-841041149-0f4db155-9.pdf
